symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:XAUUSD,2026-03-10T14:00:00+00:00,2026-03-10T18:00:00+00:00,14,18,trend,trailing_stop,5195.40433,5214.71402,0.01000,19.23682,0.07287,16,0.56807,"{'fast': 5192.594, 'slow': 5184.001333333334, 'trend_strength': 0.0016575355819095083}"
C:XAUUSD,2026-03-13T12:45:00+00:00,2026-03-13T13:45:00+00:00,12,13,trend,stop_loss,5118.62818,5099.93320,0.01000,-18.76651,0.07153,4,1.00000,"{'fast': 5101.948, 'slow': 5093.242666666667, 'trend_strength': 0.0017091927290853182}"
C:XAUUSD,2026-03-16T13:00:00+00:00,2026-03-16T14:15:00+00:00,13,14,trend,trailing_stop,5022.79052,5013.58011,0.01000,-9.28066,0.07025,5,1.00000,"{'fast': 5012.171, 'slow': 5002.158666666667, 'trend_strength': 0.0020016025081437405}"
C:XAUUSD,2026-03-23T14:00:00+00:00,2026-03-23T14:45:00+00:00,14,14,trend,trailing_stop,4463.71580,4460.36437,0.01000,-3.41389,0.06247,3,1.00000,"{'fast': 4423.009, 'slow': 4316.202, 'trend_strength': 0.024745598097586585}"
C:XAUUSD,2026-03-24T16:45:00+00:00,2026-03-24T17:00:00+00:00,16,17,trend,stop_loss,4421.33241,4396.39949,0.01000,-24.99464,0.06172,1,0.86128,"{'fast': 4416.452, 'slow': 4407.370666666667, 'trend_strength': 0.002060487764738328}"
C:XAUUSD,2026-03-26T14:45:00+00:00,2026-03-26T15:45:00+00:00,14,15,trend,structure_exit,4465.11591,4437.18622,0.01000,-27.99200,0.06232,4,1.00000,"{'fast': 4448.2699999999995, 'slow': 4439.5019999999995, 'trend_strength': 0.001974996294629383}"
C:XAUUSD,2026-03-27T14:45:00+00:00,2026-03-27T17:15:00+00:00,14,17,trend,trailing_stop,4509.92949,4492.93176,0.01000,-17.06075,0.06302,10,1.00000,"{'fast': 4446.824, 'slow': 4434.351333333334, 'trend_strength': 0.002812737586421754}"
C:XAUUSD,2026-03-30T12:00:00+00:00,2026-03-30T13:30:00+00:00,12,13,trend,trailing_stop,4556.56322,4543.23774,0.01000,-13.38918,0.06370,6,1.00000,"{'fast': 4542.128, 'slow': 4530.503666666667, 'trend_strength': 0.0025657927216478082}"
C:XAUUSD,2026-03-31T13:00:00+00:00,2026-03-31T14:00:00+00:00,13,14,trend,take_profit,4581.67523,4614.13207,0.01000,32.39246,0.06437,4,0.85655,"{'fast': 4573.37, 'slow': 4564.637, 'trend_strength': 0.0019131860868673023}"
C:XAUUSD,2026-04-01T12:00:00+00:00,2026-04-01T15:15:00+00:00,12,15,trend,take_profit,4742.72811,4771.93944,0.01000,29.14472,0.06660,13,1.00000,"{'fast': 4736.687, 'slow': 4719.469, 'trend_strength': 0.003648291788758362}"
C:XAUUSD,2026-04-02T14:45:00+00:00,2026-04-02T16:15:00+00:00,14,16,trend,stop_loss,4681.51322,4649.74922,0.01000,-31.82932,0.06532,6,1.00000,"{'fast': 4633.6230000000005, 'slow': 4626.385666666667, 'trend_strength': 0.0015643601408932284}"
